編號,旅行社名稱,負責人,地址,公司電話,公司傳真,公司E_MAIL
22,新日旅行社,謝憲治,10457臺北市中山區南京東路2段69號10樓,0225681688,0225626696,sanpunaruwato@kimo.com.tw
23,大道旅行社,李本玠,10449臺北市中山區長安東路2段108號10樓1001室,0225075111,0225155818,bonita-standard@kimo.com
24,金界旅行社,張李正琴,10669臺北市忠孝東路4段142號5樓之2,0227733266,0227723449,service@travelonline.com.tw
25,太魯閣旅行社,黃建臺,10545臺北市松山區南京東路4段47號7樓,0227176555,0227175820,service@tiroko.com.tw
26,明利旅行社,許兆麟,10456臺北市中山區松江路54號8樓之2,0225652780,0225219809,merry16@ms27.hinet.net
27,中春旅行社,官君怡,10049臺北市中正區忠孝東路1段176號9樓,0223415311,0223939163,scts0357@ms39.hinet.net
28,正安旅行社,吳碧蓮,10552臺北市八德路4段699號5樓之3及9樓之1,0227631313,0227474406,lilywu@ms11.hinet.net
29,宏祥旅行社,郭裕家,10472臺北市松江路190號4樓,0225635313,0225634803,edisonts@ms6.hinet.net
30,永盛旅行社,朱光志,10544臺北市松山區復興北路167號13樓之2,0227187300,0227180201,service@dragontr.com.tw
31,協和旅行社,張伸茂,11493臺北市內湖區洲子街75號3樓,0287515958,0287512768,harmony.travel@msa.hinet.net
32,佳安旅行社,林麗如,100臺北市中正區忠孝東路1段85號12樓之1,0233933132,0223578330,angel@acrosstex.com.tw
33,,,,,,
34,中證旅行社,劉玉銘,10455臺北市中山區松江路3號13樓之5,02-25020059,02-25027078,show@molifeholiday.com.tw
35,正洋旅行社,周秀卿,10464臺北市南京東路2段100號4樓之4,0225251153,0225674943,ok@oktravel.com.tw
36,西南旅行社,李  欣,105臺北市松山區民權東路3段178號5樓,0266001688,0266001686,swest919@ms43.hinet.net
37,臺灣親親旅行社,朱玉和,10048臺北市中正區中山北路1段2號2樓之1,0225551816,0225591628,
38,安順旅行社,林維揚,10465臺北市中山區吉林路36號10樓,0225413838,0225238575,marco383@ms19.hinet.net
39,弘泰旅行社,李大任,10545臺北市松山區南京東路4段50號9樓之2,0225780738,0225777918,leewuyai@tpts6.seed.net.tw
40,大盟旅行社,陳照雄,10655臺北市大安區復興南路1段368號2樓,0227033530,0227070871,rcetpe@ms31.hinet.net
41,捷運旅行社,張德清,10450臺北市八德路2段245號11樓,0287722328,0287722229,
42,安迪旅行社,劉慶河,104臺北市中山區南京東路2段160號6樓,0225006727,0225006737,luke@looktaiwan.info
43,正一旅行社,丁文茵,10472臺北市松江路185號8樓之1,0225072184,0225062123,cyts@hotelindex.com.tw
44,楷模旅行社,王雙秀,110臺北市松山區南京東路5段296號12樓,0225289809,0225289815,ericchiao136@hotmail.com
45,東航旅行社,柯汝倩,10466臺北市長安東路2段178號9樓之7,0227219683,0227219681,
46,和興旅行社,林佩英,104臺北市中山區長安東路2段90號7樓,0225077779,0225038307,charly_kao@yahoo.com.tw
47,環球旅行社,陳再田,10455臺北市中山區松江路51號6樓,0225073636,0225073838,servic@mis.utsc.com.tw
48,福鹿旅行社,王朝槐,10468臺北市中山區復興北路60號8樓,0227400128,0227518874,fullluck@agent.abacus.com.tw
49,,,,,,
50,永安國際旅行社,吳森垚,104臺北市中山區長安東路1段25號地下室,0225813535,0225361790,
51,長漢旅行社,王啟漢,10449臺北市中山區長安東路2段52號6樓之1,0225638770,0225620577,
52,上順旅行社,李南山,10487臺北市中山區南京東路3段61號10樓、63號11樓,0225171157,0225045380,service@fantasy-tours.com
53,,,,,,
54,中聯旅行社,楊馥霞,10485臺北市中山區長春路172號10樓,0225077789,0225040004,
55,六順旅行社,鄭明順,10696臺北市大安區忠孝東路4段295號3樓,0227789366,0227735667,lshuen.travel@msa.hinet.net
56,寶獅旅行社,雄獅旅行社股份有限公司法人代表 陳豊續,114臺北市內湖區瑞湖街111號6樓,0287939000#8092,02-66006011,
57,中安旅行社,李純純,10449臺北市中山區吉林路24號8樓,0225610785,0225610739,joanne-joan@tpe2.atti.net.tw
58,北航旅行社,胡靜嫻,10542臺北市復興北路181號2樓、2樓之3,0225453000,0227174831,service@farstep.com.tw
59,萬盛旅行社,魏綺年,10472臺北市松江路158號6樓,0225670532,0225630373,wstour@ms8.hinet.net
60,晨風旅行社,劉志旋,10447臺北市長安東路1段15號5樓,0225510553,0225224634,xmorning@ms24.hinet.net
61,雙向國際旅行社,艾施鴻,10449臺北市中山區松江路54號5樓,0277291177,0277012112,sales@sunshinetw.com.tw
62,大登旅行社,林博宗,10472臺北市松江路146號8樓之3,0225683028,0225683238,travel@martin.com.tw
63,天海旅行社,曾盛鈺,10467臺北市中山區龍江路96號6樓,0225065593,,tee285@mail.tenhai.com.tw
64,喜美旅行社,莊世忠,10449臺北市長安東路2段78號4樓,0225094888,0225060784,service@gts.gloriatour.com.tw
65,鳳凰國際旅行社,張金明,10441臺北市中山區長安東路1段25號4樓,0225370000,0266082512,info@phoenix.com.tw
66,世邦旅行社,陳屬庄,10456臺北市中山區松江路82號5樓、5樓之1、5樓之2,0225115118,0225214743,service@4p.com.tw
67,,,,,,
68,康福旅行社,黃明峰,10465臺北市中山區南京東路2段98號4樓,0225221771,0225413527,marketing.b2c@colatour.com.tw
69,雄獅旅行社,王文傑,114臺北市內湖區瑞湖街111號2樓,0287939000,0227121229,lion@liontravel.com.tw
70,翔富旅行社,何育才,10046臺北市忠孝東路1段138號2樓,0223225219,0223945892,service@rts.com.tw
71,東南旅行社,黃正一,10448臺北市中山區中山北路2段60號1、2、3、4、5、6、7、8樓,0225678111,0225117897,jane@settour.com.tw
72,行家旅行社,海英倫,10449臺北市中山區松江路23號8樓,0225168000,0225042002,giya@protour.com.tw
73,山富國際旅行社,陳國森,10407臺北市中山區南京東路2段85、87號4樓,0225518866,0225361332,rit@richmond.com.tw
74,華郁旅行社,關珮潔,10478臺北市中山區民生東路3段69號5樓,0225175577,0225073941,tpe@ermtour.com.tw
75,協益旅行社,廖豐盛,10469臺北市中山區松江路274號7樓,0225515166,0225630408,eva@scope.com.tw
76,志洋旅行社,蕭志洋,10488臺北市中山區南京東路3段210號10樓,0227514000,0227810747,xotour@ms24.hinet.net、xotour@hotmail.com
77,大榮旅行社,郭榮華,10465臺北市中山區南京東路2段66號12樓之2,0225679315,0225633980,6524@gogojp.com.tw
78,永業旅行社,吳勛豐,104臺北市建國北路2段33號15樓之6,0225155989,0225155987,service@appletour.com.tw
79,,,,,,
80,悅群旅行社,張玉林,104臺北市中山區復興北路164號2樓,0227199393,0227152898,yuyi-chang@heartytour.com.tw
81,大都會旅行社,林進榮,10455臺北市長安東路2段67號11樓,0225155858,0266088509,linlinlin@ddv.com.tw
82,名冠旅行社,吳志崧,10545臺北市松山區復興北路15號15樓之1,0227315066,0227774939,a27312288@msn.com
83,新台旅行社,蔡康彥,10449臺北市中山區長安東路2段100號3樓,0225132928,0225180968,eztour@signet.com.tw
84,中信旅行社,章致遠,10546臺北市中山區民權東路2段59號3樓,0225868189,0225868658,ciytrust@seed.net.tw
85,保保旅行社,戴啟珩,10455臺北市中山區長安東路2段88號11樓,0225055677,0225183328,dianna@bobby.com.tw
86,天擎旅行社,許禓哲,10466臺北市中山區民生東路2段170號8樓,0225182118,0225072626,skyway.tour@xuite.net   steve@skyway.com.tw
87,中國時報旅行社,中國時報文化事業股份有限公司法人代表李玉生,10485臺北市大同區承德路一段70號4樓,0225589669,0225589885,Michelle.chen@cts-travel.com.tw
88,鴻大旅行社,張莉穎,10448臺北市中山區林森北路96號6樓、6樓之1、3、及9樓,0225675235,0225681614,ticket@hungta-travel.com.tw
89,喜鴻旅行社,葉友芳,10458臺北市中山區松江路148號6樓之2及8樓之1,0225636836,0225156820,
90,易遊網旅行社,易遊網股份有限公司 陳甫彥,10478臺北市中山區民生東路3段49號2樓、51號4樓,0225010888,0225168186,service@eztravel.com.tw
91,美齊旅行社,溫多如,11491臺北市內湖區瑞光路2號7樓,0225450978,0225451066,denise@mail.jean.com.tw
92,誠信旅行社,易飛網科技股份有限公司法人代表李克敬,10045臺北市中正區衡陽路51號2樓之1,02-77250800,022-66014688,
93,世界旅行社,黃奕鋒,10486臺北市中山區松江路101號7樓之1,0225152185,0225074420,world@toku.com.tw
94,理想旅運社,蔡榮一,104臺北市長春路129號3樓,0225215241,0225426817,sales@perfect.com.tw
95,開喜旅行社,高成功,10472臺北市松江路152號10樓之9、之10,0225416066,0225416055,travel@mail.travelland.com.tw
96,昇漢旅行社,柯牧洲,10466臺北市中山區長安東路2段178號9樓、9樓之1、之2,0227219683,0227710820,waptravel@seed.net.tw
97,樺一旅行社,嚴從音,10449臺北市長安東路2段110號7樓之1,0225063581,0225071272,spacetk@ms47.hinet.net
98,四維旅行社,梁翠寶,10446臺北市民生東路1段58號10樓之1、2,0225116341,0225119203,rsvn@inter-asia.com.tw
99,,,,,,
100,利代旅行社,陳治平,10457臺北市中山區南京東路2段60號10樓,02-25433399,02-25373224,service@have Funtraveil.tw
101,大吉大發旅行社,李佳蓁,10463臺北市中山區建國北路二段33號4樓,0225075678,0225094288,ycc8@ms47.hinet.net
102,星港旅行社,陳阿福,104臺北市中山區長春路四十號十樓之三、四,0225653016,0225416381,
103,貴賓旅行社,王錦鳳,10449臺北市中山區吉林路24號11樓之1,0225620676,0225623147,kepin@kepintours.com.tw
104,,,,,,
105,,,,,,
106,國盛旅行社,法人股東龍騰國際投資股份有限公司法人代表林明昇,10341臺北市大同區鄭州路137號地下一層,02-25546765,,gh1398@ms38.hinet.net
107,宗龍旅行社,楊妮蘭,10472臺北市中山區長春路172號9樓之5,0225179933,0225042911,a5179933@ms31.hinet.net
108,,,,,,
109,世梅旅行社,王世雄,10669臺北市忠孝東路4段166號9樓之2,0287733111,0287733113,johntour@ms24.hinet.net
110,嘉聯國際旅行社,楊宜縈,100臺北市中正區忠孝東路2段100號2樓之3,0223022158,0229957402,funziyu@hotmail.com
111,東假旅行社,劉富誠,10489臺北市中山區南京東路2段150號2樓,0225010881,0225428840,ab0013@tpe.atti.net.tw
112,捷立旅行社,宋易潔,10456臺北市中山區松江路338號10樓,0225652135,0225812809,jolly.tour@msa.hinet.net
113,九和旅行社,杜秋月,104臺北市中山區長安東路2段169-6號11樓之2,0227772691,0227772681,fuchuan_chen51@hotmail.com
114,金環球旅行社,翁炳贊,10466臺北市中山區長安東路2段173號11樓、11樓之1,0227212166,0227212190,gut1127@hotmail.com
115,可樂旅行社,黃明峰,11491臺北市內湖區內湖路1段252號4樓,0225111199,0225315301,manage.tpe@colatour.com.tw
116,嘉航旅行社,林來明,10455臺北市長安東路2段81號5樓之1,0225155589,0225156235,travel51@ms46.hinet.net
117,台佳旅行社,賴錦雲,104臺北市中山區民生東路1段27巷11號3樓之1,0225423845,0225417828,t3845@ms12.hinet.net
118,,,,,,
119,巨冠旅行社,國光汽車客運股份有限公司法人代表王應傑,100臺北市中正區忠孝西路一段173號,0223810666,0223819585,service@kkholiday.com.tw
120,金漢妮旅行社,黃麗卿,10452臺北市中山區撫順街23號4樓,0225868618,0225852588,thehoney@ms51.hinet.net
121,統元旅行社,林漢淳,10472臺北市中山區長春路149之3號2樓,0225620869,0225818413,
122,天馬旅行社,李松茂,104臺北市中山區中山北路2段71號9樓,0221002078,0225237456,feng@settour.com.tw
123,正麗旅行社,黃麗翠,10467臺北市中山區南京東路3段9號7樓之1,0225150463,0225150465,chengli886@hotmail.com
124,,,10490臺北市中山區松江路301號6樓之2,0225170818,0225012808,Jacky888835@hotmail.com
125,中國青年旅行社,法人股東中國青年救國團法人代表 王福生,10049臺北市中正區館前路45號2樓,0223711226,0223110631,cyis.atc@msa.hinet.net
126,彩虹國際旅行社,陳俊良,10456臺北市中山區松江路54號7樓之1,0225677177,0225672169,rainbowtw@swamail.com
127,,,,,,
128,那魯灣旅行社,楊士成,10472臺北市中山區松江路206號3樓之6、7、8,0225619911,0225113030,edward@naruwan.com、jenny@naruwan.com
129,冠霖旅行社,林逸生,10465臺北市中山區南京東路2段20號4樓,0225376688,0225635858,sophia.kl@msa.hinet.net
130,飛雁國際旅行社,吳雁輝,10467臺北市中山區南京東路3段91號11樓之4,0225168833,0225056767,feiyen@ms23.hinet.net
131,華潤旅行社,劉筱蘭,11052臺北市信義區基隆路2段51號4樓之1,0223785766,0227392495,hwashin@ms10.hinet.net
132,萬海旅行社,吳榮枝,10460臺北市中山區長安東路2段78號5樓,0225030580,0225362263,g2677@ms57.hinet.net
133,美雲旅行社,吳清榮,10449臺北市中山區長安東路2段51號4樓,0225235788,0225239398,tlitours@ms23.hinet.net
134,建明國際旅行社,徐范煦敏,114臺北市內湖區新湖三路196號3樓,02-27965696,0225175883,aps03@aps.com.tw
135,亨達旅行社,翁文彬,10485臺北市中山區松江路129號5樓,0225029766,0225029768,hengda2.travel@msa.hinet.net
136,廈航旅行社,陳明金,10452臺北市中山區民生東路3段3號11樓,0225073737,0277015614,qiu99@sparqnet.net
137,美和旅行社,陳春蘭,10449臺北市中山區松江路67號9樓之3,0225166221,0225098703,m5166221@ms29.hinet.net
138,川流國際旅行社,旭海國際科技股份有限公司法人代表林志融,10450臺北市中山區中山北路2段115巷47號2樓,0225082888,0225000777,
139,創意旅行社,田穗生,10447臺北市中山區長安東路1段4號3樓,0225638787,0225636116,tiensir@hotmail.com
140,興安旅行社,欒興秀,10472臺北市中山區松江路200號6樓之1,0225814548,0225627752,shine688@ms57.hinet.net
141,吉祥旅行社,王明俐,10441臺北市中山區中山北路一段41號(3樓),0225512282,0225422396,lucky@tpe2.atti.net.tw
142,阿波羅旅行社,辜柏榮,10460臺北市中山區民權東路1段72號6樓,0225238686,0225232086,apolo88@ms59.hinet.net
143,聯華旅行社,賴正宏,10485臺北市中山區松江路185號9樓之5、之6,0225097868,0225091780,Payeasy176@payeasy.com.tw
144,嘉仁旅行社,侯浩仁,10449臺北市中山區松江路127之1號2樓,0225019667,0225048605,
145,御盛旅行社,林約珥,10488臺北市中山區復興北路38號10樓,0277293511,0227517654,kenny@muchfun.com.tw
146,知見旅行社,陳旭煌,10452臺北市中山區民權西路11號8樓,0225850995,0225850078,
147,鵬展旅行社,林英傑,10491臺北市內湖區內湖路一段409號3樓,0287706463,0287706625,mimi@pctl.com.tw
148,海峽友誼旅行社,英屬維京群島商海峽友誼旅行社股份有限公司法人代表陳新智,104臺北市中山區南京東路2段150號2樓及8樓,0225033138,0225033137,
149,身心康泰旅行社,符忠寧,10545臺北市松山區南京東路4段51號2樓,0287127263,0227192098,
150,嘉禾旅行社,戴東波,70042臺南市健康路1段371號1、2樓,062637171,062638507,GLTOUR1@AGENT.ABACUS.COM.TW
151,永順旅行社,新竹汽車客運股份有限公司法人代表許炤平,30042新竹市民族路16號2樓,035265151,035265152,fwtravel@ms34.hinet.net
152,宏陽旅行社,楊于正,64044雲林縣斗六市鎮東路8號1、2樓,055332691,055329670,hytour@ms5.hinet.net
153,,,,,,
154,星辰旅行社,陳勁宇,701臺南市東區慶東街96號1樓,062377911,062378518,janemcyeh@hotmail.com
155,,,,,,
156,中盟旅行社,鄭銘琮,40745臺中市青海路2段51之1號1、2樓,0423110000,0423114258,cmtxg@yahoo.com.tw
157,捷利旅行社,吳盈良,70041臺南市民族路2段76號之10、5樓之4,062290100,062269075,chiehliholiday@yahoo.com.tw
158,行邦旅行社,安迪旅行社股份有限公司法人代表劉慶河,10489臺北市中山區南京東路2段160號6樓,0225180455,0225006685,
159,大馨旅行社,蕭博仁,60058嘉義市友忠路546巷1號2樓,052320032,052322020,hua111@ms34.url.com.tw
160,大山旅行社,何璧修,60044嘉義市和平路283之1號2樓,052288771,052249501,service@suntour.com.tw
161,桃源旅行社,蔡輝勳,33059桃園縣桃園市中山路709號6樓,032289889,032289893,taiwan@tauyuan.com.tw
162,義美旅行社,匡立中,62142嘉義縣民雄鄉建國路2段114號1樓,052212060,052219446,imits@ms37.hinet.net
163,澄清湖旅行社,甘光宇,83044高雄市鳳山區建國路3段34號2、3樓,077767729,072418697,
164,,,,,,
165,翔天國際旅行社,陳吳冊,95044臺東縣台東市傳廣路198號1樓,089355439,089355429,boss.tour@msa.hinet.net
166,萬客隆旅行社,吳佳怡,33442桃園縣八德市瑞發街22號,033688899,033651870,marktour@seed.net.tw
167,新世紀國際旅行社,巫重熙,50045彰化縣彰化市中興路122號1、2樓,047266737,047266890,hh2488@hotmail.com
168,喜來登旅行社,高健智,104臺北市中山區南京東路4段130號12樓,0225789876,,
169,同興旅行社,戴金平,104臺北市中山區中山北路3段26號10樓之2,034272489,034278511,
170,,,,,,
171,高平旅行社,林怡伶,30342新竹縣湖口鄉信勢村龍江街55號1樓,035239998,035997416,p48gkf7@ms21.hinet.net
172,華府旅行社,廖泳淀,40356臺中市西區公益路367號10樓之2,0423280093,0423199393,www.hwafu.travel@msa.hinet.net
173,大立旅行社,法人股東旗豐旅行社股份有限公司法人代表王琪炫,10469臺北市中山區民權東路2段26號10樓、10樓之1,02-25428856,,david@davidtour.com.tw
174,永康旅行社,董欽智,80241高雄市四維四路5號5樓之2,073330045,073352385,sandyt@ms21.hinet.net
175,八達旅行社,廖素葳,801高雄市前金區七賢二路396號10樓之4,072825346,072825734,d8dtour@hotmail.com
176,六合旅行社,駱炫宏,80142高雄市前金區旺盛街192號1樓﹝含夾層﹞,072727117,072164967,new-nahaholiday@kimo.com.tw
177,國益旅行社,王憲國,80241高雄市新光路24巷1號5樓之4,073332257,073328424,ardour@ksts.seed.net.tw
178,五福旅行社,許順富,80748高雄市三民區博愛一路28號10樓,07-3231155,07-3233302,service@lifetour.com.tw
179,金鶴旅行社,林金陵,80748高雄市博愛一路28號13樓,073234333,073233312,pride111@ms11.hinet.net
180,京城旅行社,沈本立,80143高雄市前金區中華四路282號7樓,072157138,072161692,castlets@ms49.hinet.tw
181,長谷旅行社,徐志鈴,80145高雄市前金區中華三路77之1號8樓之1,072727202,072156005,wang0727@ms31.hinet.net
182,喬安旅行社,陳俊良,80242高雄市苓雅區海邊路26之1號1、2樓及26之2號1、2樓,073367118,073360089,in_bound@joanna.com.tw
183,飛揚旅行社,黃金祥,80042高雄市新興區林森一路189號7樓,072364129,072363101,flytour8@ms47.hinet.net
184,鋼友旅行社,鋼福育樂股份有限公司法人代表王茂濱,80146高雄市前金區中華四路282號3樓,072158999,072153939,pppp@csctours.com.tw
185,華泰旅行社,莊世棠,80045高雄市民生一路56號14樓之8,072247219,072263511,
186,長益旅行社,郭川儀,80749高雄市三民區北平二街10號3樓之1,073235250,073237751,anan_tsao@hotmail.com
187,魯安旅行社,劉健魯,80046高雄市中正四路53號4樓之4、5,2824854,2165586,
188,東宏旅行社,鄭雪玲,80144高雄市前金區河東路8號10樓之4,072212293,072822464,tunghung@khh.atti.net.tw
189,,,,,,
190,萬事達國際旅行社,李玉文,80759高雄市三民區建元路9巷46號1、2樓(含夾層),073890608,073890658,master5513@yahoo.com.tw
191,今喜旅行社,江其興,80743高雄市三民區博愛一路189號9樓、9樓之1,073161983,073161953,Chin-hsi@yahoo.com.tw
192,美利達旅行社,黃俊郎,806高雄市前鎮區一心二路33號4樓,073313507,073316719,
193,佳和旅行社,吳麗如,80143高雄市中華三路77之1號5樓之2,072518903,072827398,ch@chiaho.com.tw
194,成瑞旅行社,陳秀婷,802高雄市苓雅區四維四路7號16樓,073392629,073387080,otts@netvigator.com.tw
195,天悅旅行社,張力本,80143高雄市前金區文武三街97號1、2樓,072161621,072161981,lipen@venus.seed.net.tw
196,非凡國際旅行社,戴美慧,89341高雄市前金區六合二路202之1號,072812600,072812597,extra.travel@msa.hinet.net
197,長藤旅行社,賴榮家,10452臺北市中山區民權東路1段53號7樓,0225953966,0225952466,
198,協輝旅行社,高武輝,70842臺南市安平區慶平路279號,06-2999695,06-2999684,startour@seed.net.tw
199,輕鬆假期旅行社,吳盈良,80247高雄市苓雅區三多四路31之1號,073351680,073301885,
200,大興旅行社,林秀玲,10466臺北市松江路72號12樓,0225671076,0225111634,tahsin@ms10.hinet.net
201,禾藤旅行社,葉亭儀,80145高雄市前金區中華三路77號12樓之2,072153719,072150292,seetheworldkhh@hotmail.com
202,百昱旅行社,賴素蘭,105臺北市松山區敦化北路201-6號12樓,0225471171,0225471604,n4511@ms43.hinet.net
203,鉅龍旅行社,甄恩航,80242高雄市苓雅區中山二路412號9樓之3,07-9539088,07-9539068,chulong.ts@msa.hinet.net
204,僑鵬旅行社,黃連同,80143高雄市中華三路97號1樓,072011887,072167928,louis661109@hotmail.com
205,,,,,,
206,元和旅行社,許明春,10463臺北市中山區林森北路131號4樓,0225411813,0225224712,jameskao@yenho.com.tw
207,富泰旅行社,劉小媛,104臺北市中山區南京東路2段11號6樓,0225627799,0225429220,rose5115@ms42.hinet.net
208,誠泰旅行社,陳麗芳,104臺北市中山區長安東路1段21號6樓,0225083877,0225072671,pj367038@ms36.hinet.net
209,帆華旅行社,陳黃美珠,10489臺北市南京東路2段206號12樓之2,0225151168,0225077616,panhua.travel@msa.hinet.net
210,福安旅行社,白麗明,104臺北市中山區松江路301號6樓之2、之4,0225163488,0225071098,
211,,,,,,
212,路得旅行社,孟令軍,10449臺北市中山區松江路51號10樓之2,0225189933,0225180282,smartinw@ms22.hinet.net
213,欣祐弘旅行社,梁榮堯,10491臺北市中山區長安東路2段184號5樓之1,0227773091,0227523499,newyoho@yahoo.com.tw
214,山弘旅行社,林金和,55743南投縣竹山鎮昭德街39號1、2樓,0492645219,0492654950,easygo58@ms42.hinet.net
215,凱越旅行社,駱炫宏,10486臺北市中山區松江路111號10樓,0225077141,0225076079,goldenhyatt@umail.hinet.net  sp042156@mail.apol.com.tw
216,東方旅行社,李玉琴,10441臺北市中山區長安東路1段21號6樓之1,0221002908,0221002904,orient.lillian@gmail.com
217,,,,,,
218,富都旅行社,倪衛國,104臺北市中山區松江路158號5樓之1,0225628128,0225621348,ftntour@ms13.hinet.net
219,環遊國際旅行社,李沃耀,104臺北市中山區復興北路58號8樓之1,0227786911,0227731696,tpe@hitour.com.tw
220,翔順旅行社,羅麗瑩,10466臺北市松江路80號12樓,0225237227,0225215411,jacky@miragetour.com.tw
221,遠見旅行社,洪執中,10451臺北市中山區林森北路500號3樓之1,0221002040,0221002848,winking.travel@msa.hinet.net
222,八閩旅行社,林國宏,20941連江縣南竿鄉介壽村48號1、2樓,083623933,083626010,
223,歡笑旅行社,翁炳贊,10466臺北市中山區長安東路2段173號11樓、11樓之1,0227212166,0227212190,smile788@ms43.hinet.net
224,,,,,,
225,和平旅行社,康沛威,104臺北市中山區長安東路2段108號8樓之2、之3,0225181507,0225045093,
226,億都旅行社,符忠龍,40448臺北市中山區松江路66號9樓,0225112208,0225112926,edo.travelservices@yahoo.com.tw
227,豪鵬旅行社,林誠,10457臺北市中山區南京東路2段96號12樓之3,0225413877,0225603082,service@macototours.com
228,十勝旅行社,宋壯飛,10449臺北市中山區長安東路2段108號11樓之2,0225091848,0277018953,tokachi@giga.net.tw
229,,,,,,
230,太豐旅行社,丁朝明,10049臺北市中正區北平東路24號3樓之3,0223581347,0223957124,tayfeng.ads1@msa.hinet.net
231,采風錄旅行社,許俊賢,110臺北市信義區光復南路495號5樓之4,0287882677,0287862201,windtour@windtour.com.tw
232,大原旅行社,曾敬南,10461臺北市中山區南京東路3段132號10樓,0287738133,0287738131,ohala8@gmail.com
233,海灣旅行社,梁揆強,11052臺北市信義區基隆路2段48號7樓,0227296846,0227299240,ayth168@yahoo.com.tw
234,宏聯旅行社,張志維,40741臺中市豐原區圓環南路161號1樓,0425295666,0425296066,
235,京城天下旅行社,吳志健,10469臺北市中山區南京東路2段76號11樓,0225673201,0225602375,castle.tours@msa.hinet.net
236,國鼎旅行社,陳善國,10448臺北市林森北路100號9樓之1,0225231052,0225319832,ab0005@tpe.atti.net.tw
237,閔盛國際旅行社,蔡淑卿,10491臺北市中山區長安東路2段106號9樓,0225161898,0225161868,Jackie888568@yahoo.com.tw
238,金明生旅行社,吳明生,89341金門縣金城鎮珠浦東路13之5號1、2樓,082-352409,082-355588,
239,,,,,,
240,順怡旅行社,曲士梅,10352臺北市中山區松江路190號3樓、3樓之1,0225230985,0225230828,
241,金品旅行社,呂世雄,10046臺北市中山區長安東路1段27號9樓之1,0225232211,0225812233,LiuFEI@GOLDEN-ETS.com.tw
242,永達旅行社,林聖雄,50067彰化縣彰化市金馬路3段489號2樓,047639996,047634714,ever.tour@msa.hinet.net
243,泰元旅行社,林長杰,40457臺中市北區進化北路238號7樓之1,0422312555,0422310322,jack@taiyuan.com.tw
244,總廣旅行社,林佑庭,10471臺北市松江路220號2樓之1,0225371777,0225373016,tzoong25371777@yahoo.com.tw
245,安達天下旅行社,林  青,10449臺北市長安東路2段108號3樓,0225160599,0225047488,polo@tpe.atti.net.tw
246,三越旅行社,齊雁蘋,10485臺北市長春路172號5樓,0225182701,0225182705,v5155105@ms35.hinet.net
247,,,,,,
248,,,80141高雄市前金區新盛二街76號,072515170,072414863,gsts@gsts.com.tw
249,楓蓮旅行社,吳嘉獎,893福建省金門縣金城鎮民族路13號1樓、2樓,082324558,082324531,fenglian@ms35.hinet.net
250,世帝喜旅行社,新加坡商JTB PTE LTD法人代表    前土井智克,10448臺北市中山區中山北路2段60號9、10樓,0225682111,0225629933,
251,達偉旅行社,侯伯俊,40741臺中市西屯區大墩二十街175號1、2樓,0423199826,0423107340,cugt.golf@msa.hinet.net
252,,,,,,
253,萬達旅行社,徐建志,10454臺北市中山區南京東路1段92號6樓,0225222244,0225604748,oka.sun@msa.hinet.net
254,,,,,,
